product_name,product_price,product_discount,product_rate,product_link
"Samsung Fit 3 Smartwatch Amoled Display, Accelerometer, Barometer, Gyro Sensor, Optical Heart Rate Sensor, Light Sensor Gray","1,871",15% Off,4.6,/egypt-en/fit-3-smartwatch-amoled-display-accelerometer-barometer-gyro-sensor-optical-heart-rate-sensor-light-sensor-gray/N70040525V/p/?o=cd87f2c4fba5556d
X-Inova MX10 - Luxury Smart Watch 7 Watch Bands Multicolors- Golden Case,869,42% Off,4.1,/egypt-en/mx10-luxury-smart-watch-7-watch-bands-multicolors-golden-case/Z25EA76334A22E0B8FC40Z/p/?o=z25ea76334a22e0b8fc40z-1
T800 Ultra Smart Watch HD Touch Screen Fitness Tracker SpO2 Heart Rate Monitor Fitness Voice Assistant Power Saving Sports IP67 Waterproof,324,50% Off,3.4,/egypt-en/t800-ultra-smart-watch-hd-touch-screen-fitness-tracker-spo2-heart-rate-monitor-fitness-voice-assistant-power-saving-sports-ip67-waterproof/ZF2AC508B263E8A26C207Z/p/?o=zf2ac508b263e8a26c207z-1
W&O X9 ULTRA 2 Series 9 SUPER AMOLED Display 480X320 Open AI Chat GPT GPS NFC Bluetooth V5 Call Wireless Charger Orange,750,62% Off,2.4,/egypt-en/x9-ultra-2-series-9-super-amoled-display-480x320-open-ai-chat-gpt-gps-nfc-bluetooth-v5-call-wireless-charger-orange/Z568F1D9D2D120E17603DZ/p/?o=z568f1d9d2d120e17603dz-1
"HUAWEI WATCH FIT Special Edition Smart Watch, 1.64-inch HD AMOLED Display, Built-in GPS, Scientific Sleep Tracking, Quick Replies for Third-Party Apps, Compatible with Android & iOS Devices, Nebula Pink","3,800",7% Off,4.5,/egypt-en/watch-fit-special-edition-smart-watch-1-64-inch-hd-amoled-display-built-in-gps-scientific-sleep-tracking-quick-replies-for-third-party-apps-compatible-with-android-ios-devices-nebula-pink/N53420480A/p/?o=ce3f7957ea3b336a
W&O X8 Ultra MAX Smartwatch - 49mm - Orange,699,This product is not have any discount,3.9,/egypt-en/x8-ultra-max-smartwatch-49mm-orange/ZD6CD1509EB7F706F51CFZ/p/?o=zd6cd1509eb7f706f51cfz-1
HK Hk10 ULTRA 3 Smart Watch - 2 Straps ( silicone and Cloth ) - 49mm - Black,999,8% Off,3.5,/egypt-en/hk10-ultra-3-smart-watch-2-straps-silicone-and-cloth-49mm-black/Z5FE776E1DF2D2ED2FEA5Z/p/?o=z5fe776e1df2d2ed2fea5z-1
"ConnectME S9 Ultra Smart Smartwatch 49mm Amoled Display screen,Bluetooth 5.3 ,180mAH, HryFine APP, IP67 Water Proof Level, 7 Days Battery Life, Pro-level Sports Modes, Blood oxygen & Pressure test ,Heart Rate Monitor, Sleep Monitoring",395,64% Off,3.2,/egypt-en/s9-ultra-smart-smartwatch-49mm-amoled-display-screen-bluetooth-5-3-180mah-hryfine-app-ip67-water-proof-level-7-days-battery-life-pro-level-sports-modes-blood-oxygen-pressure-test-heart-rate-monitor-sleep-monitoring/Z1621EDF7DFB0522CCB87Z/p/?o=z1621edf7dfb0522ccb87z-1
W&O® Little Star X10 Ultra 3 Smartwatch - WearFIT Technology with NFC & Voice Assistant - Health Tracking & WeChat Pay-BLACK,"1,484",This product is not have any discount,This product is not have any rate,/egypt-en/w-o-little-star-x10-ultra-3-smartwatch-wearfit-technology-with-nfc-voice-assistant-health-tracking-wechat-pay-black/ZBA7D8BF7C23505D08E27Z/p/?o=zba7d8bf7c23505d08e27z-1
"JOYROOM 350 mAh JR-FC1 PRO 1.32” Screen Classic Series Smart Watches for Men & Women Smartwatch with Bluetooth Make/Answer Calls Fitness Modes and Sleep Modes Multi-app Message Reminder and languages Arabic, English Etc Rose Gold","2,500",This product is not have any discount,4.3,/egypt-en/350-mah-jr-fc1-pro-1-32-screen-classic-series-smart-watches-for-men-women-smartwatch-with-bluetooth-make-answer-calls-fitness-modes-and-sleep-modes-multi-app-message-reminder-and-languages-arabic-english-etc-rose-gold/N70142486V/p/?o=fda1a27dd98be7ad
"HUAWEI WATCH D2  Smartwatch, 1.82"" AMOLED Touch display, Blood Pressure Monitoring, Slim Design, Bluetooth Calling, Compatible with iOS Android, 6 months HUAWEI care+ Gold","18,200",This product is not have any discount,4.7,/egypt-en/watch-d2-smartwatch-1-82-amoled-touch-display-blood-pressure-monitoring-slim-design-bluetooth-calling-compatible-with-ios-android-6-months-huawei-care-gold/N70117419V/p/?o=f5f27ada9aa4ed5d
"JOYROOM 350 mAh JR-FC1 PRO 1.32” Screen Classic Series Smart Watches for Men & Women Smartwatch with Bluetooth Make/Answer Calls Fitness Modes and Sleep Modes Multi-app Message Reminder and languages Arabic, English Etc - Black/ Space Grey","1,625",This product is not have any discount,4.6,/egypt-en/350-mah-jr-fc1-pro-1-32-screen-classic-series-smart-watches-for-men-women-smartwatch-with-bluetooth-make-answer-calls-fitness-modes-and-sleep-modes-multi-app-message-reminder-and-languages-arabic-english-etc-black-space-grey/N70142485V/p/?o=ab3a46c0853a486b
"Xiaomi Smart Band 9 | 1.62'' AMOLED Display | Touchscreen, Multisport Tracker, Activity Tracker, Heart Rate Monitor | Upto 21 Days Battery Life Glacier Silver Glacier Silver","2,599",48% Off,4.7,/egypt-en/smart-band-9-1-62-amoled-display-touchscreen-multisport-tracker-activity-tracker-heart-rate-monitor-upto-21-days-battery-life-glacier-silver-glacier-silver/N70101635V/p/?o=c846ba5a62058c5a
"realme Watch S2, 1.43"" AMOLED Display, Super AI Engine & Up To 20 Days Battery Smart Watch Ocean Silver","4,487",This product is not have any discount,4.5,/egypt-en/watch-s2-1-43-amoled-display-super-ai-engine-up-to-20-days-battery-smart-watch-ocean-silver/N70131227V/p/?o=d0f28d08ef796d6e
"HUAWEI Watch Fit 3 Smartwatch, 1.82 Inch Amoled Display, Comfortable And Stylish Design, Scientific Workout Coach, Upgraded Health Management, Compatible With iOS And Android Black","4,800",35% Off,4.6,/egypt-en/watch-fit-3-smartwatch-1-82-inch-amoled-display-comfortable-and-stylish-design-scientific-workout-coach-upgraded-health-management-compatible-with-ios-and-android-black/N70060905V/p/?o=ca94dfc36f618c1e
JOYROOM 300 mAh 300 mAh JR-FV1 Smart Watch Can Make And Receive Calls 1.43-Inch HD Screen Bluetooth Connection Fitness Monitoring For Men And Women Compatible With Apple And Android Metal Silicone Strap Space Grey,"2,550",This product is not have any discount,4.4,/egypt-en/300-mah-300-mah-jr-fv1-smart-watch-can-make-and-receive-calls-1-43-inch-hd-screen-bluetooth-connection-fitness-monitoring-for-men-and-women-compatible-with-apple-and-android-metal-silicone-strap-space-grey/N70052331V/p/?o=e1927a18d483b52e
Samsung Galaxy Watch 6 Classic 47 Mm GPS Smartwatch Silver,"8,000",64% Off,4.4,/egypt-en/galaxy-watch-6-classic-47-mm-gps-smartwatch-silver/N53422412A/p/?o=b48a0a41d5d0075c
smart watch T900 Ultra with health fitness tracker and supports the Arabic Language,330,76% Off,2.9,/egypt-en/smart-watch-t900-ultra-with-health-fitness-tracker-and-supports-the-arabic-language/ZD810471CE1FC47A14BEFZ/p/?o=zd810471ce1fc47a14befz-1
W&O X9 ULTRA 2 Series 9  SmartWatch SUPER AMOLED Display  Open AI Chat GPT GPS NFC Bluetooth V5 Call Wireless Charger Black,699,63% Off,2.8,/egypt-en/x9-ultra-2-series-9-smartwatch-super-amoled-display-open-ai-chat-gpt-gps-nfc-bluetooth-v5-call-wireless-charger-black/ZFC9798ACAF25E153002FZ/p/?o=zfc9798acaf25e153002fz-1
T900 Ultra smart watch -  black,299,18% Off,2.4,/egypt-en/t900-ultra-smart-watch-black/Z73A939B957B1B1FA651CZ/p/?o=z73a939b957b1b1fa651cz-1
"HUAWEI Band 10 Smartwatch, Metallic Design, iOS Android, Pro-Level Sleep Analysis, Fast Charging And Robust Battery Life, Sleek Aluminum Alloy Case Purple","2,499",This product is not have any discount,4.6,/egypt-en/band-10-smartwatch-metallic-design-ios-android-pro-level-sleep-analysis-fast-charging-and-robust-battery-life-sleek-aluminum-alloy-case-purple/N70151081V/p/?o=ed5082dab002a3df
"HUAWEI Watch GT 5 46mm Smartwatch, up to 14 Days Battery Life, All-new Running and Cycling Experience, Sharp-Edged Design Watch, Health Tracking, Compatible with iOS and Android, Blue","8,615",25% Off,4.6,/egypt-en/watch-gt-5-46mm-smartwatch-up-to-14-days-battery-life-all-new-running-and-cycling-experience-sharp-edged-design-watch-health-tracking-compatible-with-ios-and-android-blue/N70107719V/p/?o=c09f40b284a558fa
"Smart Watch T2000 ULTRA 2 Ecran 2.08"" INFINITE DISPLAY",299,55% Off,2.9,/egypt-en/smart-watch-t2000-ultra-2-ecran-2-08-infinite-display/Z96CCB4F767D05B2DA6B3Z/p/?o=z96ccb4f767d05b2da6b3z-1
"adhomax New 2025 T800 Ultra Smart Watch, Series 8, Elegant Design 1.99"", Infinite Display, Fitness Tracker, Heart Rate, Oxygen Monitor, Calls, Wireless Charging, Works With IOS, android for men, women",400,This product is not have any discount,3.2,/egypt-en/new-2025-t800-ultra-smart-watch-series-8-elegant-design-1-99-infinite-display-fitness-tracker-heart-rate-oxygen-monitor-calls-wireless-charging-works-with-ios-android-for-men-women/ZCECD41FE6744ACF89DA0Z/p/?o=zcecd41fe6744acf89da0z-1
HK Hk10 ULTRA 3 Smart Watch - 2 Straps ( silicone and Cloth ) - 49mm - Grey,995,This product is not have any discount,3.5,/egypt-en/hk10-ultra-3-smart-watch-2-straps-silicone-and-cloth-49mm-grey/ZEE30011410E843D7EB6DZ/p/?o=zee30011410e843d7eb6dz-1
"HUAWEI Band 10 Smartwatch, Compatible with iOS Android, Emotional Wellbeing Assistant, Fast Charging And Robust Battery Life, Comfortable Wearing, Pro-Level Sleep Analysis, Durable polymer case Pink","2,130",This product is not have any discount,4.6,/egypt-en/band-10-smartwatch-compatible-with-ios-android-emotional-wellbeing-assistant-fast-charging-and-robust-battery-life-comfortable-wearing-pro-level-sleep-analysis-durable-polymer-case-pink/N70151075V/p/?o=d10e18d3654c0fdd
W&O X10 MINI 3 Smart Watch - Curved Super Amoled 41mm - Black,669,This product is not have any discount,3.9,/egypt-en/x10-mini-3-smart-watch-curved-super-amoled-41mm-black/Z59A43036559735B19506Z/p/?o=z59a43036559735b19506z-1
"HUAWEI Band 9 Smart Watch, Ultra-Thin Design And Comfortable Wearing, Scientific Sleep Analysis, Durable Battery Life, IOS And Android Starry Black","1,700",41% Off,4.7,/egypt-en/band-9-smart-watch-ultra-thin-design-and-comfortable-wearing-scientific-sleep-analysis-durable-battery-life-ios-and-android-starry-black/N70053119V/p/?o=dae0a10681be334c
Oraimo Watch 4 Plus Bluetooth Call Smart Watch 2.01inch HD Display Fitness Tracker with Heart Rate Sleep Monitor Pedometer IP68 Waterproof Black,998,58% Off,4.3,/egypt-en/watch-4-plus-bluetooth-call-smart-watch-2-01inch-hd-display-fitness-tracker-with-heart-rate-sleep-monitor-pedometer-ip68-waterproof-black/N70033897V/p/?o=bba4b8bd4e65736c
W&O X9 ULTRA 2 Series 9 Wearfit Pro SmartWatch SUPER AMOLED Screen Unlock AI Chat GPT GPS NFC Bluetooth V5 Call Wireless Charger,590,This product is not have any discount,4.2,/egypt-en/x9-ultra-2-series-9-wearfit-pro-smartwatch-super-amoled-screen-unlock-ai-chat-gpt-gps-nfc-bluetooth-v5-call-wireless-charger/ZD25DC82347CB831CF888Z/p/?o=zd25dc82347cb831cf888z-1
W&O X9 ULTRA 2 Series 9 Wearfit Pro SmartWatch SUPER AMOLED Screen Unlock AI Chat GPT GPS NFC Bluetooth V5 Call Wireless Charger,649,78% Off,4.2,/egypt-en/x9-ultra-2-series-9-wearfit-pro-smartwatch-super-amoled-screen-unlock-ai-chat-gpt-gps-nfc-bluetooth-v5-call-wireless-charger/ZC3EE8F861845F453EEB8Z/p/?o=zc3ee8f861845f453eeb8z-1
"HUAWEI Watch Fit 3 Smartwatch, 1.82 Inch Amoled Display, Comfortable And Stylish Design, Scientific Workout Coach, Upgraded Health Management, Compatible With iOS And Android White","5,799",21% Off,4.6,/egypt-en/watch-fit-3-smartwatch-1-82-inch-amoled-display-comfortable-and-stylish-design-scientific-workout-coach-upgraded-health-management-compatible-with-ios-and-android-white/N70060907V/p/?o=eee0ee323e5223ff
ادهوماكس ساعة ذكية X10 الترا 3 بشاشة منحنية بتقنية الاتصال قريب المدى من ادهوماكس، تصميم انيق 49 ملم، متتبع اللياقة البدنية، شحن لاسلكي، تطبيق ويرفيت برو للجوال في متجر اي او اس واندرويد للرجال والنساء,900,This product is not have any discount,3.8,/egypt-en/x10-3-49/Z630534C15641556D4EC8Z/p/?o=z630534c15641556d4ec8z-1
Oraimo Watch 2R OSW-30 Smart Watch With  Silicone Strap Black,"1,199",This product is not have any discount,4.2,/egypt-en/watch-2r-osw-30-smart-watch-with-silicone-strap-black/N70017547V/p/?o=bad0181698869cac
"HUAWEI Band 9 Smart Watch, Ultra-Thin Design And Comfortable Wearing, Scientific Sleep Analysis, Durable Battery Life, IOS And Android White","1,650",42% Off,4.7,/egypt-en/band-9-smart-watch-ultra-thin-design-and-comfortable-wearing-scientific-sleep-analysis-durable-battery-life-ios-and-android-white/N70053123V/p/?o=c6e62da199b6cd7e
في & حول ساعه ذكيه X9 ULTRA 2 الاصدار التاسع شاشه 2.2 بوصه سوبر اموليد - بلوتوث - NFC  - جوجل ماب - شات GPT - شاحن لاسلكى,899,55% Off,3.3,/egypt-en/x9-ultra-2-2-2-nfc-gpt/Z8D70A016BD3F46290CB2Z/p/?o=z8d70a016bd3f46290cb2z-1
Wearfit Pro HK9 ULTRA 2 Series 9 Wearfit Pro (2024) SmartWatch 2.12 Inch SUPER AMOLED Display 480X320 Open AI Chat GPT GPS NFC Bluetooth V5 Call Wireless Charger,944,68% Off,4.1,/egypt-en/hk9-ultra-2-series-9-wearfit-pro-2024-smartwatch-2-12-inch-super-amoled-display-480x320-open-ai-chat-gpt-gps-nfc-bluetooth-v5-call-wireless-charger/Z7A7961AE6292BDB18310Z/p/?o=z7a7961ae6292bdb18310z-1
"Infinix Infinix XW1 Smart Watch 1, Water Resistant, Screen Touch, 7-Day Battery, Bluetooth Call, Health Workout, Heart rate, Blood oxygen, Sleep breath Tracking, Silver","1,550",This product is not have any discount,4.4,/egypt-en/infinix-xw1-smart-watch-1-water-resistant-screen-touch-7-day-battery-bluetooth-call-health-workout-heart-rate-blood-oxygen-sleep-breath-tracking-silver/N70062730V/p/?o=b6c1ea46b5b139ce
Apple Watch Series 9 GPS 45mm Midnight Aluminium Case With Midnight Sport Band,"17,200",This product is not have any discount,4.5,/egypt-en/watch-series-9-gps-45mm-midnight-aluminium-case-with-midnight-sport-band/N53437293A/p/?o=c28915ee13df52dd
"HUAWEI Watch Fit 3 Smartwatch, 1.82 Inch Amoled Display, Comfortable And Stylish Design, Scientific Workout Coach, Upgraded Health Management, Compatible With iOS And Android Green","6,299",14% Off,4.6,/egypt-en/watch-fit-3-smartwatch-1-82-inch-amoled-display-comfortable-and-stylish-design-scientific-workout-coach-upgraded-health-management-compatible-with-ios-and-android-green/N70060908V/p/?o=d5f58554db6d7ede
"cmf by NOTHING Watch Pro Smartwatch With Bluetooth Calling, AMOLED Display, Dark Grey","3,299",This product is not have any discount,4.4,/egypt-en/watch-pro-smartwatch-with-bluetooth-calling-amoled-display-dark-grey/N70030268V/p/?o=c4783f7a6f4ef73b
Samsung Galaxy Watch 6 Classic 47 Mm GPS Smartwatch Graphite/Black,"7,961",64% Off,4.4,/egypt-en/galaxy-watch-6-classic-47-mm-gps-smartwatch-graphite-black/N53422411A/p/?o=a87575a50a2c919c
"Amazfit Pop 3s Ultra-large 1.96"" HD AMOLED Display,Fashionable Curved & Metallic Design With Bluetooth Phone Calls Black","2,200",This product is not have any discount,4.4,/egypt-en/pop-3s-ultra-large-1-96-hd-amoled-display-fashionable-curved-metallic-design-with-bluetooth-phone-calls-black/N70062230V/p/?o=d2d8df5b78f90faf
T800 Ultra Series 8 Smart Watch 2.08 Inch IPS display NFC Bluetooth V5 Call Waterproof IP67 Wireless Charger,348,56% Off,3.3,/egypt-en/t800-ultra-series-8-smart-watch-2-08-inch-ips-display-nfc-bluetooth-v5-call-waterproof-ip67-wireless-charger/Z5F9011FE00ECAA092980Z/p/?o=z5f9011fe00ecaa092980z-1
Wearfit Pro X8+ Plus Ultra Series 8 Smart watch 2.08 Inch IPS display NFC Bluetooth V5 Call Waterproof IP67 Wireless Charger - Black,680,65% Off,4.0,/egypt-en/x8-plus-ultra-series-8-smart-watch-2-08-inch-ips-display-nfc-bluetooth-v5-call-waterproof-ip67-wireless-charger-black/ZA012086B33C46056611AZ/p/?o=za012086b33c46056611az-1
"Amazfit Pop 3s Ultra-large 1.96"" HD AMOLED Display,Fashionable Curved & Metallic Design With Bluetooth Phone Calls Silver","2,390",40% Off,4.4,/egypt-en/pop-3s-ultra-large-1-96-hd-amoled-display-fashionable-curved-metallic-design-with-bluetooth-phone-calls-silver/N70062227V/p/?o=e61d1464cf509c9e
JOYROOM 300mAh JR-FT5 Fit-Life Smart Watch Can Make and Answer Calls 1.83-inch HD Screen 80 Sports Modes Fitness Monitor Health Monitor Monitor Blood Oxygen Blood Pressure Heart Rate Pressure Sleep Monitoring Message Reminder Smart Watch Suitable for Men Women Smart Watch Compatible with Apple Android Phone Black,"1,399",30% Off,4.1,/egypt-en/300mah-jr-ft5-fit-life-smart-watch-can-make-and-answer-calls-1-83-inch-hd-screen-80-sports-modes-fitness-monitor-health-monitor-monitor-blood-oxygen-blood-pressure-heart-rate-pressure-sleep-monitoring-message-reminder-smart-watch-suitable-for-men-wom/N53369921A/p/?o=ab9988fefbaaef1d
"Amazfit Active Smart Watch With Ai Fitness Exercise Coach, Gps, Bluetooth Calling, Music, 14 Day Battery, 1.75 Inch Amoled Display, Alexa Built-In, Fitness Watch For Android And iPhone Midnight Black","4,890",This product is not have any discount,4.1,/egypt-en/active-smart-watch-with-ai-fitness-exercise-coach-gps-bluetooth-calling-music-14-day-battery-1-75-inch-amoled-display-alexa-built-in-fitness-watch-for-android-and-iphone-midnight-black/N70027867V/p/?o=a95015da600d929f
"HUAWEI Watch Fit 3 Smartwatch, 1.82 Inch Amoled Display, Comfortable And Stylish Design, Scientific Workout Coach, Upgraded Health Management, Compatible With iOS Android Grey","5,999",23% Off,4.6,/egypt-en/watch-fit-3-smartwatch-1-82-inch-amoled-display-comfortable-and-stylish-design-scientific-workout-coach-upgraded-health-management-compatible-with-ios-android-grey/N70060909V/p/?o=b58b33b5fb8735ab
"Xiaomi Smart Band 8 (BHR7166GL) – Champagne Gold, 1.62"" AMOLED, Heart Rate & SpO₂ Monitor, 100+ Sports Modes, 16-Day Battery, 5ATM Water Resistance Gold","1,663",16% Off,4.5,/egypt-en/smart-band-8-bhr7166gl-champagne-gold-1-62-amoled-heart-rate-spo-monitor-100-sports-modes-16-day-battery-5atm-water-resistance-gold/N70001420V/p/?o=bfe0e27233aac43f
